Year,date,Dependent,D_type,Speaker1,Governor,G_type,Speaker2,RelationType,long_date
1960,07 10,"As a matter of fact in his book, The Strategy for Peace, he took the right position",Claim,NIXON,For me to have made such a statement would been in direct uh - opposition to that treaty,Claim,NIXON,Support,07-10-1960
1960,07 10,"Now I'm very surprised that Senator Kennedy, who is on the Foreign Relations Committee, would have made such a statement as this kind",Claim,NIXON,"As a matter of fact in his book, The Strategy for Peace, he took the right position",Claim,NIXON,Support,07-10-1960
1960,07 10,"Now I'm very surprised that Senator Kennedy, who is on the Foreign Relations Committee, would have made such a statement as this kind",Premise,NIXON,Senator Kennedy also indicated with regard to Cuba that he thought that I had made a mistake when I was in Cuba in not calling for free elections in that country,Claim,NIXON,Support,07-10-1960
1960,07 10,"I look at Cuba today, I believe that we are following the right course",Claim,NIXON,We think that's pretty good progress,Claim,NIXON,Support,07-10-1960
1960,07 10,"I look at Cuba today, I believe that we are following the right course",Premise,NIXON,a course which is difficult,Claim,NIXON,Attack,07-10-1960
1960,07 10,"I look at Cuba today, I believe that we are following the right course",Claim,NIXON,a course which under the circumstance is the only proper one which will see that the Cuban people get a chance to realize their aspirations of progress through freedom and that they get that with our cooperation with the other organi- of the states in the Organization of American States,Claim,NIXON,Support,07-10-1960
1960,07 10,"I look at Cuba today, I believe that we are following the right course",Claim,NIXON,Cuba is not lost,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,We think that's pretty good progress,Premise,NIXON,"There were eleven dictators in South America and in Central America when we came in, in 1953",Claim,NIXON,Support,07-10-1960
1960,07 10,We think that's pretty good progress,Premise,NIXON,Today there are only three left including the one in Cuba,Claim,NIXON,Support,07-10-1960
1960,07 10,We think that's pretty good progress,Claim,NIXON,"I look at Cuba today, I believe that we are following the right course",Claim,NIXON,Equivalent,07-10-1960
1960,07 10,We think that's pretty good progress,Claim,NIXON,Cuba is not lost,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,In my speech last night I indicated that I thought that Cuba one day again would be free,Claim,KENNEDY,In the first place I've never suggested that Cuba was lost except for the present,Claim,KENNEDY,Equivalent,07-10-1960
1960,07 10,I don't agree with Senator Kennedy that Cuba is lost and certainly China was lost when this Administration came into power in 1953,Claim,NIXON,"I look at Cuba today, I believe that we are following the right course",Claim,NIXON,Support,07-10-1960
1960,07 10,I don't agree with Senator Kennedy that Cuba is lost and certainly China was lost when this Administration came into power in 1953,Claim,KENNEDY,today Cuba is lost for freedom,Claim,NIXON,Attack,07-10-1960
1960,07 10,I don't agree with Senator Kennedy that Cuba is lost and certainly China was lost when this Administration came into power in 1953,Claim,NIXON,Cuba is not lost,Claim,NIXON,Support,07-10-1960
1960,07 10,I hope some day it will rise,Claim,KENNEDY,I don't think it will rise if we continue the same policies toward Cuba that we did in recent years,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,I don't think it will rise if we continue the same policies toward Cuba that we did in recent years,Premise,KENNEDY,"we've beamed not a single Voice of America program in Spanish to all of Latin America in the last eight years, except for the three months of the Hungarian uh - revolution",Claim,KENNEDY,Support,07-10-1960
1960,07 10,Senator Kennedy also indicated with regard to Cuba that he thought that I had made a mistake when I was in Cuba in not calling for free elections in that country,Claim,KENNEDY,I did not criticize him for not calling for free elections,Premise,NIXON,Attack,07-10-1960
1960,07 10,Senator Kennedy also indicated with regard to Cuba that he thought that I had made a mistake when I was in Cuba in not calling for free elections in that country,Claim,KENNEDY,"What I criticized was the failure of the Administration to use its great influence to persuade the Cuban government to hold free elections, particularly in 1957 and 1958",Premise,NIXON,Attack,07-10-1960
1960,07 10,"Where I've been critical of the Administration's policy, and where I criticized Mr. Nixon",Premise,KENNEDY,"in his press conference in Havana in 1955, he praised the competence and stability of the bicta- bict- Batista dictatorship - that dictatorship had killed over twenty thousand Cubans in seven years",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I did not criticize him for not calling for free elections,Claim,KENNEDY,"Where I've been critical of the Administration's policy, and where I criticized Mr. Nixon",Claim,KENNEDY,Support,07-10-1960
1960,07 10,today Cuba is lost for freedom,Premise,KENNEDY,we never used our influence when we could have used it most effectively,Claim,KENNEDY,Support,07-10-1960
1960,07 10,today Cuba is lost for freedom,Premise,KENNEDY,we never were on the side of freedom,Claim,KENNEDY,Support,07-10-1960
1960,07 10,today Cuba is lost for freedom,Premise,KENNEDY,"Instead our aid continued to Batista, which was ineffective",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I don't think this kind of defeatist talk by Senator Kennedy helps the situation one bit,Claim,NIXON,Cuba is not lost,Claim,NIXON,Support,07-10-1960
1960,07 10,For me to have made such a statement would been in direct uh - opposition to that treaty,Premise,NIXON,that position is that the United States has a treaty - a treaty with all of the Organization of American States - which prohibits us from interfering in the internal affairs of any other state and prohibits them as wel,Claim,NIXON,Support,07-10-1960
1960,07 10,There isn't any question but that we will defend our rights there,Claim,NIXON,There isn't any question but that we will defend Guantanamo if it's attacked,Claim,NIXON,Equivalent,07-10-1960
1960,07 10,I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States,Claim,KENNEDY,"I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable",Claim,KENNEDY,Support,07-10-1960
1960,07 10,I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States,Premise,KENNEDY,"If it ever becomes necessary, and is wise economically and essential to our security",Claim,KENNEDY,Support,07-10-1960
1960,07 10,"many of the programs that I'm talking about - economic growth, care for the aged, development of our natural resources - build the strength of the United States",Premise,KENNEDY,That's how the United States began to prepare for its great actions in World War II and in the post-war period,Claim,KENNEDY,Support,07-10-1960
1960,07 10,"many of the programs that I'm talking about - economic growth, care for the aged, development of our natural resources - build the strength of the United States",Premise,KENNEDY,I would not want anyone to elect me uh - president of the United States - or vote for me - under the expectation that life would be easier if I were elected,Claim,KENNEDY,Attack,07-10-1960
1960,07 10,we're stronger,Claim,KENNEDY,this country's on the move,Claim,KENNEDY,Equivalent,07-10-1960
