,Unnamed: 0,head,relation,tail
0,0,We hadn't put al Qaeda to rest,__label__Support,"Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so"
1,1,"even though, as the economy has risen in the last eight years, America's women have risen with it and received more income",__label__Support,this is an unfair and unacceptable situation
2,2,"I hope I might, through my friendships in Israel and throughout the Arab world, play a unique role in bringing peace to this -- this sacred region of the world",__label__Support,Al Gore and I will continue to do that
3,3,Not as part of the defense of Formosa and the Pescadores,__label__Support,That's not the position you took
4,4,We can only be strong overseas if we're strong at home,__label__Support,when I became president we'll not only be strong in those areas but also in defense - a defense capability second to none
5,5,We've got to invest in science and technology,__label__Support,we've got to do structurally to make sure that we can compete in this global economy
6,6,I think it's a shame it didn't pass,__label__Support,we need more police on the street
7,7,we're not talking about failure of institutions on Wall Street,__label__Support,"if we don't fix the greatest fiscal crisis, probably in -- certainly in our time, and I've been around a little while"
8,8,Our country is not strong anymore,__label__Support,the Ford administration has failed
9,9,my judgment is that they don't want to give their freedom up to become Communists,__label__Support,"I believe if we identify ourselves with that force, if we identify ourselves with it as Lincoln, as Wilson did, as Franklin Roosevelt did, if we become known as the friend of freedom, sustaining freedom, helping freedom, helping these people in the fight against poverty and ignorance and disease, helping them build their lives, I believe in Latin America, Africa, and Asia, eventually in the Eastern Europe and the Middle East, certainly in Western Europe, we can strengthen freedom"
10,10,he now says that he was against it,__label__Support,They're different on busing;
11,11,that's the kind of presidency I believe in,__label__Support,that's the kind of leadership that I want to provide as president of the United States
12,12,"They see President Obama in New York City the same day Bibi Netanyahu is and he, instead of meeting with him, goes on a -- on a daily talk show",__label__Support,Let's look at this from the view of the ayatollahs
13,13,"if we have an across-the-board spending freeze, we're not going to be able to do it",__label__Support,"That's an example of, I think, the kind of use of the scalpel that we want to make sure that we're funding some of those programs"
14,14,I want to make sure that we are focused on those programs that work,__label__Support,"an across-the-board spending freeze is a hatchet, and we do need a scalpel"
15,15,I'm proud of her,__label__Support,she's a role model to women and other -- and reformers all over America
16,16,We passed the bill in the Senate this year but it didn't pass the House,__label__Support,"I've been critical of the Administration's failure to suggest policies which would make it possible for us to establish, for example, closer relations with Poland, particularly after the fifty-five-fifty-six period and the Hungarian revolution"
17,17,"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship",__label__Support,We have to make sure that we make it easier for kids to afford college
18,18,just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance,__label__Support,this is another fundamental difference that I have with the vice president
19,19,"you cannot make concessions to terrorists, ever, ever",__label__Attack,we want to do everything we can to bring them back
20,20,"In the Congress, in the House of Representatives, I served on the House Intelligence Committee",__label__Support,I worked hard to learn the subject of nuclear arms control and how we can diffuse these tensions and deal with non-proliferation and deal with the problems of terrorism and these new weapons of mass destruction
21,21,it would've added uh - ten to thirty billion dollars each year in additional expenditures by the Federal Government,__label__Support,we all know that it would've controlled our economy
22,22,We've got to sit down together across the table,__label__Support,Social Security is not that tough
23,23,"With the end of the Soviet Union, the implosion of the empire, that created a vacuum if you will, and made it easier for us to operate there",__label__Support,"We were able to, I think, reassure both Arabs and Israelis would play a major role there"
24,24,the last president of the United States that tried that was Herbert Hoover,__label__Support,We're not going to follow that path while I'm -- when I'm president of the United States
25,25,you can look it up,__label__Support,that's just a fact
26,26,"if you make less than $250,000, less than a quarter-million dollars a year, then you will not see one dime's worth of tax increase",__label__Support,I can tell the American people: 95 percent of you will get a tax cut
27,27,we will come home as we have when we have won other wars and not in defeat,__label__Support,we will come home
28,28,It was ignored in that case and it was a very very serious mistake in judgment,__label__Support,Very serious mistakes in judgment were made
29,29,We're not doing as well amongst the people that get to be habitual drug-users,__label__Attack,we're making progress
30,30,"Their families care deeply about them, want them back and understandably so",__label__Support,"Peter, it's one of the most agonizing decisions a president has to make"
31,31,"in all these other places around the world where they're having these terrible problems, when they feel hope, it is often because they see in us a reflection of their potential",__label__Support,"It means addressing the problems of injustice and inequity, along the lines of race and ethnicity here at home"
32,32,"He complains about the fact our troops don't have adequate equipment, yet he voted against the $87 billion supplemental I sent to the Congress",__label__Attack,"then issued one of the most amazing quotes in political history: ""I actually did vote for the $87 billion before I voted against it."""
33,33,"an honest cop stops somebody and makes a technical mistake, the criminal doesn't go away",__label__Support,I've been fighting for changes in the exclusionary rule
34,34,"the greed and excess in Washington and Wall Street, Main Street was paying a very heavy price",__label__Support,I believe that it's rescue
35,35,we've got to make sure we're building the energy source of the future,__label__Support,we've got to control our own energy
36,36,I have never violated that oath,__label__Support,I have kept the faith with our country
37,37,it's a campaign year,__label__Support,"The president wants it, but we can't get it"
38,38,he's going to be the Joe Isuzu of American politics,__label__Support,If he keeps this up
39,39,"in Africa, Asia, Latin America, Eastern Europe, the great force on our side is the desire of people to be free",__label__Support,"I believe if we identify ourselves with that force, if we identify ourselves with it as Lincoln, as Wilson did, as Franklin Roosevelt did, if we become known as the friend of freedom, sustaining freedom, helping freedom, helping these people in the fight against poverty and ignorance and disease, helping them build their lives, I believe in Latin America, Africa, and Asia, eventually in the Eastern Europe and the Middle East, certainly in Western Europe, we can strengthen freedom"
40,40,"How did we do that? Well, Republicans and Democrats came together on a bipartisan basis to put in place education principles that focused on having great teachers in the classroom",__label__Support,that was what allowed us to become the number one state in the nation
41,41,I notice particularly that he didn't endorse the Humphrey-Hawkins bill which he has on occasions and which is included as a part of the Democratic platform,__label__Support,I don't believe that uh that Mr. Carter's been any more specific in this case than he has been on many other instances
42,42,not just in Detroit,__label__Support,all across the country
43,43,"Of the nine million people put to work in new jobs since I've been in office, 1.3 million of those has been among black Americans, and another million among those who speak Spanish",__label__Support,we've had such an increase in the number of people employed
44,44,She understands reform,__label__Support,She'll be my partner
45,45,"I've put forward a plan to make sure that, in 10 years' time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home",__label__Support,We have to have energy independence
46,46,that means that the ordinary American out there who's collecting a paycheck every day,__label__Support,"What I've called for is a tax cut for 95 percent of working families, 95 percent"
47,47,"Peter, it's one of the most agonizing decisions a president has to make",__label__Support,we want to do everything we can to bring them back
48,48,it asked the wealthiest Americans to pay a little more,__label__Support,"that's why he wants to veto it, just like he vetoed an earlier bill this year"
49,49,"he left the senate, we abandoned that",__label__Attack,"Ours are permanent, ours is a good plan"
50,50,he said those successes are fragile,__label__Support,"if we set a specific date for withdrawal -- and by the way, Senator Obama's original plan, they would have been out last spring before the surge ever had a chance to succeed"
51,51,we said exactly what the intelligence community told us that they knew,__label__Support,We did not know they wanted more security again
52,52,I will keep that promise,__label__Support,You ain't seen nothing yet
53,53,I believe in the sanctity of marriage,__label__Support,we shouldn't change -- or have to change -- our basic views on the sanctity of marriage
54,54,Did you hear him say that Congress just voted to increase student loans and scholarships,__label__Support,They did after he left
55,55,That's not the case,__label__Attack,Admiral Mullen suggests that Senator Obama's plan is dangerous for America
56,56,we have to stand for human rights,__label__Support,I understand it pretty well
57,57,We can offshore drill now,__label__Support,We've got to do it now
58,58,If you had a line item veto you could knock out the pork,__label__Support,That's the problem with our system
59,59,"Senator Obama, who has never traveled south of our border, opposes the Colombia Free Trade Agreement",__label__Support,let me give you another example of a free trade agreement that Senator Obama opposes
60,60,I see the funding that is required,__label__Support,I hope the Congress will fully fund this bill
61,61,it would be a federal law preventing that,__label__Support,What it says is that gays and lesbians can't be fired from their job because they're gay or lesbian
62,62,It was part of our other economic plan,__label__Support,We also have capital gains now for people that invest in new small businesses and hold the investment for five years
63,63,Now they have enough for five,__label__Support,They're racing toward a nuclear weapon
64,64,Look at the INF treaty.,__label__Support,"if we haven't learned from the negotiating history on that, we'll never learn"
65,65,"on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush",__label__Support,I occasionally have mistaken your policies for George Bush's policies
66,66,That's not true,__label__Support,That's not true
67,67,we need it not just when there's a crisis,__label__Support,I think Senator McCain's absolutely right that we need more responsibility
68,68,Secretary of Defense Robert Gates himself acknowledges the war on terrorism started in Afghanistan and it needs to end there,__label__Support,we can't do it if we are not willing to give Iraq back its country
69,69,"it's an example of this notion that the market can always solve everything and that the less regulation we have, the better off we're going to be",__label__Support,"if you end up losing your health care from your employer, you've got to go out on the open market and try to buy it"
70,70,there can be no concessions under any circumstances,__label__Attack,"That was a tragic mistake that we made, a mistake that Mr. Bush made and others made and it should never ever be made again"
71,71,"over time, that, I think, is going to be a better recipe for economic growth than the -- the policies of President Bush that John McCain wants to -- wants to follow",__label__Support,"What I've called for is a tax cut for 95 percent of working families, 95 percent"
72,72,I want to cut that business tax,__label__Support,I want to cut it so that businesses will remain in -- in the United States of America and create jobs
73,73,They were ignored,__label__Support,The Vice President ignored them
74,74,$150 billion for improving the infrastructure,__label__Support,"I'm very proud of the way that came about and I think it's a very, very good beginning"
