,head,relation,tail
0,"if a state gets in trouble, well, we can step in and see if we can find a way to help them",__label__Support,Let states do this
1,"General Shinsheki, the Army chief of staff, said you're going to need several hundred thousand troops",__label__Support,They avoided even the advice of their own general
2,We think it is appropriate to return to the American people,__label__Support,The fact is that the program that we put together we think is very responsible
3,I believe we have to get ISIS.,__label__Support,We have to worry about ISIS before we can get too much more involved
4,make it possible for our young people to invest a portion of their payroll tax into a retirement account that they'll control and give them greater control over their own lives,__label__Support,We want to reform the Social Security system to guarantee benefits will be there for our retired folks
5,"When I was running -- when we had the debate in 2000, never dreamt I'd be doing that",__label__Support,Never wanted to commit troops
6,Obama draws the line in the sand,__label__Support,It was laughed at all over the world what happened
7,He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns,__label__Support,there's no way we can know whether any of that is true
8,The rest of them know we're after them,__label__Support,our nation has been on a multi-pronged strategy to keep our country safer
9,"If we don't build more B-2 bombers in California and we lost about 500,000 jobs out in California, because of this devastation, these big, big cuts",__label__Support,We had to make cuts
10,"I don't know what it would be, but if we can come up with one, I think the world will be better off",__label__Support,I never suggested where the weapons should be or what kind
11,"with safer mines, but also it's clean burning",__label__Support,We need to concentrate our research and development effort on uh coal burning and extraction
12,"Chris Reeve exercises every single day to keep those muscles alive for the day when he believes he can walk again, and I want him to walk again",__label__Support,I think we can save lives
13,which was Mr. Benson's theory.,__label__Support,I don't believe that it's very much different from Mr. Benson's.
14,hooking up all of our classrooms to the Internet by the year 2000,__label__Support,I think a targeted tax cut is better for our future
15,everyone talking about this matter of prolife,__label__Support,I think that this is what we should concentrate on
16,"I've been to countries where governments either forced women to have abortions, like they used to do in China, or forced women to bear children, like they used to do in Romania",__label__Support,"The government has no business in the decisions that women make with their families in accordance with their faith, with medical advice"
17,"Now, it's $4.00 a gallon",__label__Support,you're paying more
18,"no, I'm for the sanctity of life",__label__Attack,See the millions of these killings accumulate
19,we are so out of balance strategically that we lack a deterrent to a possible first assault,__label__Support,We need the missile
20,It finally gets to 50 cents at the end of the 5th year,__label__Support,"I think ""punish"" is the wrong word"
21,"I'm really strongly committed to clean water and clean air, and cleaning up the new kinds of challenges like global warming",__label__Support,We differ on the kinds of appointments that we would make
22,He goes out and says the man is questioning my patriotism,__label__Attack,I'm not questioning his patriotism
23,They were wrong,__label__Attack,He talked about a nuclear freeze back at the time when I was in Europe trying to convince European public opinion that we ought to go forward with the deployment of the INF weapons
24,stop the federal government's program that now gives low-interest loans and job training funds to companies that will actually shut down and move to other countries,__label__Support,So more trade but on fair terms -- and favor investment in America
25,We were told we would have a balanced budget in 1983,__label__Support,It was $200 billion deficit instead.
26,We heard Senator Kerry say the other night that there ought to be some kind of global test before U.S. troops are deployed preemptively to protect the United States,__label__Support,It's a consistent pattern over time of always being on the wrong side of defense issues
27,They're not left or right,__label__Support,I believe in them
28,Iraq was not even close to the center of the war on terror before the president invaded it,__label__Support,that is not the judgment that a president of the United States ought to make
29,How can we tell South Africa and the new Mandela government that democracy and private property and limited government and the rule of law and civility will work there if it's not working in our own backyard here at home or the South Bronx?,__label__Support,"Civility, responsibility, racial reconciliation, healing the wounds of our country has to be one of the greatest, most singularly important goals for this country here on the edge of the 21st Century"
30,what we have in Lebanon is something that the American people have seen,__label__Support,The Joint Chiefs urged the President not to put our troops in that barracks
31,telling people what kind of health treatment they can receive,__label__Support,picking winners and losers
32,"If you earned between $20,000 and $40,000, you may have gotten about $1,000 between ten and twenty, close to a hundred dollars",__label__Support,"if you made less than $10,000 with all the budget cuts that came down the line, you suffered a loss of $400"
33,That is an outrage,__label__Support,Joe Lieberman and I gave them six months to clean up their act
34,Let's look at the other side of the coin,__label__Support,Let's look at the vote on the Congo
35,"500 economists, including seven Nobel prize winners and business periodicals like Business Week, and even Senator Dole's friends, Senator Warren Rudman, former Republican senator from New Hampshire, says it's not a practical program",__label__Support,"It's a $550 billion tax scheme that will cause a big hole in the deficit which will raise interest rates and slow down the economy and cause people to pay more for home mortgages, car payments, credit card payments, college loans, and small business loans"
36,he's going to raise taxes,__label__Support,either he's going to break all these wonderful promises he's told you about or he's going to raise taxes
37,My balanced budget plan puts ten years on the Medicare,__label__Support,"We ought to do that, then we can have a commission"
38,the strategic beliefs that are necessary to protect this country in the world,__label__Support,we never change our beliefs
39,get middle-income Americans working again,__label__Support,I know how to fix this economy
40,We have came out of the recession,__label__Support,We are at peace
